,NAV,date
728,23.62,18-Jun-2021
729,23.76,21-Jun-2021
730,23.73,22-Jun-2021
731,23.61,23-Jun-2021
732,23.7,24-Jun-2021
733,23.88,25-Jun-2021
734,24.01,28-Jun-2021
735,23.97,29-Jun-2021
736,23.93,30-Jun-2021
737,24.0,01-Jul-2021
738,24.11,02-Jul-2021
739,24.22,05-Jul-2021
740,24.07,06-Jul-2021
741,24.1,07-Jul-2021
742,24.02,08-Jul-2021
743,24.04,09-Jul-2021
744,24.07,12-Jul-2021
745,24.23,13-Jul-2021
746,24.37,14-Jul-2021
747,24.47,15-Jul-2021
748,24.49,16-Jul-2021
749,24.55,19-Jul-2021
750,24.14,20-Jul-2021
751,24.56,22-Jul-2021
752,24.7,23-Jul-2021
753,24.73,26-Jul-2021
754,24.73,27-Jul-2021
755,24.64,28-Jul-2021
756,24.86,29-Jul-2021
757,25.09,30-Jul-2021
758,25.32,02-Aug-2021
759,25.51,03-Aug-2021
760,25.46,04-Aug-2021
761,25.49,05-Aug-2021
762,25.55,06-Aug-2021
763,25.5,09-Aug-2021
764,25.39,10-Aug-2021
765,25.43,11-Aug-2021
766,25.8,12-Aug-2021
767,25.9,13-Aug-2021
768,25.85,16-Aug-2021
769,25.82,17-Aug-2021
770,25.72,18-Aug-2021
771,25.28,20-Aug-2021
772,25.2,23-Aug-2021
773,25.5,24-Aug-2021
774,25.59,25-Aug-2021
775,25.51,26-Aug-2021
776,25.66,27-Aug-2021
777,25.98,30-Aug-2021
778,26.2,31-Aug-2021
779,26.11,01-Sep-2021
780,26.22,02-Sep-2021
781,26.34,03-Sep-2021
782,26.36,06-Sep-2021
783,26.22,07-Sep-2021
784,26.29,08-Sep-2021
785,26.31,09-Sep-2021
786,26.41,13-Sep-2021
787,26.56,14-Sep-2021
788,26.91,15-Sep-2021
789,27.04,16-Sep-2021
790,26.89,17-Sep-2021
791,26.54,20-Sep-2021
792,26.72,21-Sep-2021
793,26.96,22-Sep-2021
794,27.33,23-Sep-2021
795,27.3,24-Sep-2021
796,27.29,27-Sep-2021
797,27.32,28-Sep-2021
798,27.69,29-Sep-2021
799,27.7,30-Sep-2021
800,27.7,01-Oct-2021
801,28.08,04-Oct-2021
802,28.37,05-Oct-2021
803,28.03,06-Oct-2021
804,28.22,07-Oct-2021
805,28.26,08-Oct-2021
806,28.49,11-Oct-2021
807,28.5,12-Oct-2021
808,28.83,13-Oct-2021
809,29.01,14-Oct-2021
810,29.39,18-Oct-2021
811,29.26,19-Oct-2021
812,29.0,20-Oct-2021
813,28.86,21-Oct-2021
814,28.52,22-Oct-2021
815,28.46,25-Oct-2021
816,28.66,26-Oct-2021
817,28.61,27-Oct-2021
818,28.11,28-Oct-2021
819,27.94,29-Oct-2021
820,28.37,01-Nov-2021
821,28.4,02-Nov-2021
822,28.37,03-Nov-2021
823,28.74,08-Nov-2021
824,28.78,09-Nov-2021
825,28.78,10-Nov-2021
826,28.49,11-Nov-2021
827,28.83,12-Nov-2021
828,28.69,15-Nov-2021
829,28.62,16-Nov-2021
830,28.6,17-Nov-2021
831,28.12,18-Nov-2021
832,27.61,22-Nov-2021
833,28.03,23-Nov-2021
834,28.01,24-Nov-2021
835,28.06,25-Nov-2021
836,27.35,26-Nov-2021
837,27.19,29-Nov-2021
838,27.28,30-Nov-2021
839,27.45,01-Dec-2021
840,27.75,02-Dec-2021
841,27.56,03-Dec-2021
842,27.12,06-Dec-2021
843,27.46,07-Dec-2021
844,27.93,08-Dec-2021
845,28.04,09-Dec-2021
846,28.01,10-Dec-2021
847,28.01,13-Dec-2021
848,27.97,14-Dec-2021
849,27.89,15-Dec-2021
850,27.86,16-Dec-2021
851,27.59,17-Dec-2021
852,26.91,20-Dec-2021
853,27.19,21-Dec-2021
854,27.5,22-Dec-2021
855,27.72,23-Dec-2021
856,27.63,24-Dec-2021
857,27.73,27-Dec-2021
858,28.17,28-Dec-2021
859,28.15,29-Dec-2021
860,28.24,30-Dec-2021
861,28.38,31-Dec-2021
862,28.62,03-Jan-2022
863,28.81,04-Jan-2022
864,28.82,05-Jan-2022
865,28.63,06-Jan-2022
866,28.77,07-Jan-2022
867,29.11,10-Jan-2022
868,29.18,11-Jan-2022
869,29.52,12-Jan-2022
870,29.79,13-Jan-2022
871,29.75,14-Jan-2022
872,29.84,17-Jan-2022
873,29.48,18-Jan-2022
874,29.42,19-Jan-2022
875,29.21,20-Jan-2022
876,28.8,21-Jan-2022
877,28.17,24-Jan-2022
878,28.52,25-Jan-2022
879,28.48,27-Jan-2022
880,28.58,28-Jan-2022
881,28.98,31-Jan-2022
882,29.32,01-Feb-2022
883,29.59,02-Feb-2022
884,29.33,03-Feb-2022
885,29.24,04-Feb-2022
886,28.98,07-Feb-2022
887,28.98,08-Feb-2022
888,29.2,09-Feb-2022
889,29.42,10-Feb-2022
890,29.08,11-Feb-2022
891,28.27,14-Feb-2022
892,28.91,15-Feb-2022
893,28.83,16-Feb-2022
894,28.73,17-Feb-2022
895,28.72,18-Feb-2022
896,28.5,21-Feb-2022
897,28.23,22-Feb-2022
898,28.19,23-Feb-2022
899,27.1,24-Feb-2022
900,27.76,25-Feb-2022
901,27.99,28-Feb-2022
902,27.96,02-Mar-2022
903,27.93,03-Mar-2022
904,27.6,04-Mar-2022
905,27.32,07-Mar-2022
906,27.58,08-Mar-2022
907,27.89,09-Mar-2022
908,28.18,10-Mar-2022
909,28.27,11-Mar-2022
910,28.56,14-Mar-2022
911,28.22,15-Mar-2022
912,28.66,16-Mar-2022
913,28.99,17-Mar-2022
914,28.85,21-Mar-2022
915,29.14,22-Mar-2022
916,28.98,23-Mar-2022
917,29.06,24-Mar-2022
918,28.93,25-Mar-2022
919,29.01,28-Mar-2022
920,29.12,29-Mar-2022
921,29.17,30-Mar-2022
922,29.21,31-Mar-2022
923,29.53,01-Apr-2022
924,30.01,04-Apr-2022
925,30.11,05-Apr-2022
926,30.01,06-Apr-2022
927,29.94,07-Apr-2022
928,30.12,08-Apr-2022
929,29.94,11-Apr-2022
930,29.65,12-Apr-2022
931,29.71,13-Apr-2022
932,29.42,18-Apr-2022
933,29.06,19-Apr-2022
934,29.11,20-Apr-2022
935,29.46,21-Apr-2022
936,29.17,22-Apr-2022
937,28.73,25-Apr-2022
938,28.98,26-Apr-2022
939,28.7,27-Apr-2022
940,28.99,28-Apr-2022
941,28.67,29-Apr-2022
942,28.53,02-May-2022
943,28.12,04-May-2022
944,28.24,05-May-2022
945,27.95,06-May-2022
946,27.92,09-May-2022
947,27.54,10-May-2022
948,27.41,11-May-2022
949,26.99,12-May-2022
950,26.85,13-May-2022
951,26.99,16-May-2022
952,27.71,17-May-2022
953,27.71,18-May-2022
954,26.99,19-May-2022
955,27.55,20-May-2022
956,27.49,23-May-2022
957,27.13,24-May-2022
958,26.91,25-May-2022
959,27.18,26-May-2022
960,27.4,27-May-2022
961,27.89,30-May-2022
962,28.04,31-May-2022
963,27.97,01-Jun-2022
964,28.23,02-Jun-2022
965,28.1,03-Jun-2022
966,28.11,06-Jun-2022
967,27.99,07-Jun-2022
968,27.94,08-Jun-2022
969,28.08,09-Jun-2022
970,27.78,10-Jun-2022
971,27.03,13-Jun-2022
972,27.03,14-Jun-2022
973,26.94,15-Jun-2022
974,26.31,16-Jun-2022
975,26.13,17-Jun-2022
976,25.91,20-Jun-2022
977,26.42,21-Jun-2022
978,26.04,22-Jun-2022
979,26.3,23-Jun-2022
980,26.48,24-Jun-2022
981,26.88,27-Jun-2022
982,27.09,28-Jun-2022
983,27.05,29-Jun-2022
984,26.99,30-Jun-2022
985,26.86,01-Jul-2022
986,26.94,04-Jul-2022
987,26.9,05-Jul-2022
988,27.0,06-Jul-2022
